,total words per comment,frequency of large words per comment,Simpson,Sichel,Average sentence length per comment,Frequency of used punctuation per comment,Frequency of repeated occurrence of whitespace per comment,Number of grammar mistakes per comment,Uppercase word usage per comment,Ease reading for the content,Gunning Fog value for the content
0,73,13,0.06518141104692672,0.014084507042253521,98.6,9,0,1,20,60.3,16.87
1,50,6,0.0654186486624725,0.0058309037900874635,113.66666666666667,10,0,1,14,52.15,14.68
2,56,6,0.061204440514785324,0.010582010582010581,93.75,14,0,3,13,54.85,14.17
3,122,22,0.06383572028047756,0.005813953488372093,142.5,11,0,1,32,48.65,19.32
4,51,8,0.0692500834021035,0.014792899408284023,112.0,11,1,4,14,58.0,16.28
5,144,31,0.05724155704954573,0.012003693444136657,215.8,37,0,4,47,9.45,27.75
6,98,7,0.06706805772230888,0.0202808112324493,79.25,21,0,2,23,68.45,11.03
7,108,16,0.06992817275593625,0.006426735218508998,85.55555555555556,23,0,3,36,51.0,14.43
8,118,20,0.06394168056404073,0.007033997655334115,169.8,28,0,6,39,33.5,21.63
9,55,5,0.06348184393510173,0.019830028328611898,87.5,12,0,4,16,50.85,16.09
10,89,6,0.0627400452198296,0.01098901098901099,90.14285714285714,29,1,7,29,45.2,13.86
11,54,3,0.07036934696509167,0.024242424242424242,81.75,7,0,1,14,67.25,12.87
12,116,12,0.06731291611185088,0.011984021304926764,67.36363636363636,21,0,5,38,70.05,10.75
13,210,17,0.06778128810814119,0.006134969325153374,129.4,23,2,14,36,54.25,17.0
14,219,28,0.0670955535228873,0.008141112618724558,104.35714285714286,30,0,10,63,57.9,13.11
15,215,21,0.0683343868486355,0.004431314623338257,70.3157894736842,29,0,11,50,69.25,11.03
16,167,15,0.07182033280322715,0.006889763779527559,91.45454545454545,14,0,10,38,71.2,11.83
17,108,21,0.07121893453247773,0.006321112515802781,263.0,12,0,2,30,36.0,20.8
18,82,9,0.06377876520412154,0.016100178890876567,79.0,13,0,3,24,57.15,13.95
19,93,10,0.07163854238751768,0.013745704467353952,115.6,14,0,1,19,62.15,15.19
