,Unnamed: 0,Unnamed: 0.1,username,content,total words per comment,frequency of large words per comment,Simpson,Sichel,Average sentence length per comment,Frequency of used punctuation per comment,Frequency of repeated occurrence of whitespace per comment,Number of grammar mistakes per comment,Uppercase word usage per comment,Ease reading for the content,Gunning Fog value for the content,Label
0,0,0,aaaaaaaaaaaaaaaasssssssssssssdddddddddd," Ach Söder, dann macht doch wenigstens einen richtigen Lockdown (der für mich BTW kaum noch einen Unterschied macht), damit es schnell vorbei ist, streicht die Zwei-Haushalte-Regel im Privatraum, oder entschärft die so, dass sie z. B. bei 5 Leuten nicht gilt. Diese Zwei-Haushalte-Regel ist für mich als Alleinlebenden in einem Freundeskreis aus Alleinlebenden auf Dauer eine Zumutung und kaum vermittelbar, wenn in Schulen und der Innenstadt das Leben tobt. Gerade jetzt im Winter, wo die Stimmung sowieso nicht die beste ist. Es reicht doch, dass die Winterstimmung dieses Jahr nicht durch Weihnachtsmärkte oder zumindest richtigen Sport (nein, ein bisschen Radeln zählt für mich nicht als Sport) aufgelockert wird. ",73,13,0.06518141104692672,0.014084507042253518,98.6,9,0,1,20,60.3,16.87,24
1,1,1,aaaaaaaaaaaaaaaasssssssssssssdddddddddd," Die 50.000 werden wir mit unserer aktuellen Strategie auch noch knacken. Selbst dann, wenn wir die Existenz des ein oder anderes Gastwirts mit blödsinnigen Sperrstunden zerstören oder noch viel mehr mit Lockdowns aufs Spiel setzen, obwohl diese das Problem nur um x Wochen verschieben oder über Monate gehalten werden müssten. ",50,6,0.0654186486624725,0.005830903790087464,113.66666666666669,10,0,1,14,52.15,14.68,24
2,2,2,aaaaaaaaaaaaaaaasssssssssssssdddddddddd," Mittlerweile ist das Regelkorsett auch im Privatraum so eng, dass man mitnehmen muss, was geht, um überhaupt noch was außer Arbeit und Schlaf vom Leben zu haben. Das kann's doch nicht sein, mehr Eigenverantwortung wäre was! Und nein, als Single in einer kleinen Stadtwohnung und im Homeoffice helfen mir Garten-Tipps für den Lockdown NICHT weiter. ",56,6,0.061204440514785324,0.01058201058201058,93.75,14,0,3,13,54.85,14.17,24
3,3,3,aaaaaaaaaaaaaaaasssssssssssssdddddddddd," So langsam hätte ich auch Lust zu demonstieren. Dass die inzwischen sehr starken Einschränkungen im Privatraum nicht gelockert werden, ist inzwischen abzusehen. Man wollte leider keinen richtigen Lockdown machen, damit Ende November auch erstmal wieder gut ist... Jetzt befürchte ich, dass man sich Ende November hinsetzt und feststellt ""Hmm, ja, die Zahlen gehen nicht runter. Am vollen ÖPNV und Fernverkehr kann es nicht liegen, weil nicht sein kann, was nicht sein darf. Die Schulen sind es auch nicht. Ach, komm, schränken wir den Privatraum nochmal so richtig ein, wer im allein im Homeoffice sitzt muss eigentlich gar keine Menschenseele mehr sehen."" ",122,22,0.06383572028047756,0.005813953488372093,142.5,11,0,1,32,48.65,19.32,24
4,4,4,aaaaaaaaaaaaaaaasssssssssssssdddddddddd," Und dann? Warum gehen die Zahlen danach nicht direkt wieder so hoch? Der Winter wird eher schlimmer und was grundlegendes wird auch nicht verändert durch einen Lockdown. Bis um Frühling kann man das unmöglich durchziehen. Und wenn der Lockdown nichts grundlegendes verbessert, lohnt sich auch nicht der hohe Preis für diesen. Damit meine ich übrigens gar nicht mal primär das Finanzielle. ",51,8,0.0692500834021035,0.014792899408284025,112.0,11,1,4,14,58.0,16.28,24
5,5,5,aaaaaaaaaaaaaaaasssssssssssssdddddddddd," Wenn man sich nicht selbst nahezu komplett isoliert, ist Corona inzwischen doch fast so sicher wie die Winter-Erkältung. Ich bin mir sicher, dass sich die Entwicklung mit dem konmenden Winterdeutlich fortsetzt, auch mit einem totalen Lockdown. Bleibt also nur die Frage, ob man sich zusätzlich zu Corona noch mit absolut blödsinnigen Einschränkungen rumschlagen muss, die bei Nicht-Wirksamkeit einfach verschärft werden, oder ob die Politik ihre Strategie grundlegend überdenkt. ",144,31,0.05724155704954573,0.012003693444136656,215.8,37,0,4,47,9.45,27.75,24
6,6,6,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"...und das so pünktlich zum 30. Jubiläum des Mauerfalls. Welch Ironie... Naja, ich würde hier nicht auf links oder rechts gucken. Die eigenen Werte durch das Verletzen der eigenen Werte zu verletzen schafft man überall im politischen Spektrum. Ich erinnere nur an Leute, die das christliche Abendland verteidigen wollen und plötzlich die Nächstenliebe vergessen.",98,7,0.06706805772230888,0.0202808112324493,79.25,21,0,2,23,68.45,11.03,24
7,7,7,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"'Sie tun den Gamern ernsthaft keinen Gefallen, wenn sie kritisierte Gamer auf eine Stufe mit Opfern von Antisemitismus und Rassismus stellen wollen."" Das habe ich auch nicht getan und wollte das auch nicht implizieren. Ich habe lediglich gesagt, dass die Denkweise und die Entstehung sehr ähnlich sind. . ""Dann noch der Seitenhieb gegen Feminismus und schon haben wir wieder alle Zutaten für den beliebten Opfer-Mix zusammen."" Der hier auf Zeit beschriebene Feminismus geht von der Denke und Entstehung her stark in die Richtung. Dass das mit dem ursprünglichen Feminismus nichts zu tun hat, sollte klar sein. Auch deshalb distanziere ich mich von dem Wort Feminismus und beschreibe lieber, was ich unter Feminismus verstehe (nein, pöse Männer und Sprachreformen sind es nicht). Um eine Opferrolle ging es mir dabei nie, dafür geht es mir zu gut.",108,16,0.06992817275593625,0.006426735218508998,85.55555555555556,23,0,3,36,51.0,14.43,24
8,8,8,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,""" Die AfD sei zu einer „latent fremdenfeindliche[n], deutschnationale[n] Partei mit rechtsradikalen Einsprengseln“ geworden, sagte er der Zeit. Er verneinte die Frage, ob er die Partei so noch einmal gründen würde. Aus ihr sei eine Partei geworden, „die ich nicht gegründet hätte […] und die ich nicht wähle“.[37]"" (https://de.wikipedia.org/wik…) Oder anders: Zu Gründungszeiten fand ich die AfD nicht toll, aber diskutabel. Ausgerechnet Lucke für das, was aus der AfD geworden ist, verantwortlich zu machen, halte ich für grundlegend falsch. Hat schon Gründe, dass er nicht mehr in der Partei ist. - Ein oft als links-grün-versifft bezeichneter",118,20,0.06394168056404073,0.007033997655334115,169.8,28,0,6,39,33.5,21.63,24
9,9,9,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,""" Nichts hören, nichts sehen, nichts sagen. Da fehlen mir dann doch die Argumente."" Die Maßnahmen nehmen viele schon extrem mit. Sei es bildungstechnisch, man siehe sich Studenten an, oder finanziell, gerade bei Berufseinsteigern. Man stelle sich die Konsequenzen einer Quarantäne vor, die am Ende vielleicht auch noch auf einem falschen Verdacht beruht... Ich für meinen Teil will lieber weniger wissen. Schließlich muss ich mich seit gut einem halben Jahr sowieso verhalten, als wäre ich infiziert. Sonst müsste ich wohl kaum bei jeder Gelegenheit mit einem Stofflappen vorm Gesicht rumrennen.",55,5,0.06348184393510173,0.019830028328611898,87.5,12,0,4,16,50.85,16.09,24
